operator_utterance,spot_requirement_utterance
オペレーター: よろしくお願いします。お客様どちらへご旅行になりますでしょうか？,カスタマー: そうですね、なんとなくしか決めてないんですけど、夫婦、50代の夫婦二人で、秋なので、なんとなくなんですけど、箱根方面に行きたいかなーって思うんですけど。
オペレーター: あるいはぼんやりとどういったことしたいなとかあればこちらの方でお調べ致します。,カスタマー: そうですね、何か所か<>とこがあるんですけど、名称とかはわからないんですけど、確か何かオルゴール、オルゴールの美術館的なものがあるって<>、そういうなんか、ぶん、文化的な行動をしたいと思って、
オペレーター: ありがとうございます。,カスタマー: 先ほど申し上げましたけども、ちょっと文化的な、線とかではなくて、文化的な行動をしたいと思ってるので夫婦二人で、オルゴールは今あったので、そうですね。
オペレーター: ええ。,カスタマー: 何か、なんかびじゅ、なんかこうキーワードで美術とか文化とかそういうものありますか？
オペレーター: どうですかお客様どう<>何かイメージがわいてきましたか？,カスタマー: 三つ、は、はじめにセンテンスがあって、二つ目の文学とかそういう部分を特化したところ
オペレーター: ええ、,カスタマー: と、秋なので、夜空もいいのかなと思ったので、星とかですか？地球とか、なんかそういう感じのところにもうちょっと絞って<>ますか？
オペレーター: 歩いてたりすると甘いものも食べてく、食べたくなるかと思うんですけれどもいかがでしょうか。,カスタマー: ばれました。そうですね。私も多分おそらくかまぼこ食べた後。文学を堪能した後に絶対お腹はすくと思うんです。
オペレーター: お客様やはりカフェのような感じのところがいいですかね。それともお食事をしっかり食べられるようなところがよろしいですか？,カスタマー: すいません。そうですね。わ、和カフェというか、なんか甘味処的なところがあれば。<>ますかね。
オペレーター: では夕ご飯、どのようなものがよろしいでしょうか？,カスタマー: そうですね。もう今日はずっと和で来てるので。そのつながりで、ゆう、夕飯もちょっと洋食けっこうヘビー、ね年齢柄ヘビーになってきたので、和風で行きたいんですけどありますか？
オペレーター: その中で決めていただくと。,カスタマー: そうですね。そうですね。今すごく惹かれたんですけど、一つだけリクエストがありまして。
オペレーター: はい。もちろんです。,カスタマー: せっかく小田原というか海、海側、うみそ、海側、海の近く<>ので、できればお魚を。
オペレーター: 今回は、どのようなご旅行、ご希望ですか?,カスタマー: 今回は、食べ歩き、食べるのが結構好きで、お、お酒とかも、結構好きなんですけど。そーゆー、1日もーかけて。お酒を飲んだり、ご飯を食べたりするような旅行がしたいと思っていて。
オペレーター: 例えば、季節とかはいかがですか?<>,カスタマー: 日本酒ーが好きってゆーのもあるので。冬がいいかなと。ちょうど、お酒新種とゆーか、新しいお酒の時期なので。
オペレーター: 何人様でご予定していますか?,カスタマー: 友達と4人で行こうかなと。
オペレーター: やっぱり、北の方に<>ますか?,カスタマー: 東北か、やっぱり、東北かなとは思ってはいるんですけど。
オペレーター: やっぱり、同じように食べて歩けるような。,カスタマー: もういっそ。東北の別の県で、同じようなお店が、あったらいいかなと思うんですけど。
オペレーター: 探してみますね。,カスタマー: その日は、東北をまたにかけて、食べ歩きしようかなとゆーふーに、今、思いました。
オペレーター: 海側がいいですかね、山側がいいですかね。,カスタマー: やっぱ、お魚、美味しそうなんで、海ーがいいですかねー、
オペレーター: 他に飛んで。,カスタマー: 秋田か、宮城とか、行けるかなーってゆー感じですけど。
オペレーター: あとは、やっぱり、海産物が多い、牛タン。,カスタマー: 今回はやっぱり、海産物は食べているので、牛タン、やっぱり、いきたいかなって思います、
オペレーター: あとはー、,カスタマー: 今、思ったんですけど。東北の方で。ビールが、飲めそうなところってありますか?び、ビール作ったりとかしてるか、わからないんですけど。
オペレーター: さっきの番屋もあったんですけども。,カスタマー: 結構かなり食べてる気がするので、
オペレーター: お酒、買って帰る。,カスタマー: お土産、それもいいんですが。お茶したいなってのがあって、喫茶店とかって、どっかありますかね?
オペレーター: 喫茶店で、スイーツとかは、ご希望されますか?,カスタマー: あれば嬉しいかなと、思いますね。
オペレーター: 和風と洋風、あるんですけど。,カスタマー: 洋風の方がいいかなと、思います。
オペレーター: その他、何か、ありますかね?,カスタマー: あとは、行くとしたらお土産を買おうかなってゆー感じなんですけれども。食べものじゃなくって。民芸品とか、工芸品とか、そーゆー物を持って帰りたいかなと思。
オペレーター: 軽く、また、お茶でもしますか?,カスタマー: じゃー、そうしますね、コーヒーとか、の、飲める場所とかってあるんですかね。
オペレーター: どちら、になりますか？,カスタマー: 北海道を考えてます。
オペレーター: もう、いつ頃行かれるとか、決まってるんですか？,カスタマー: それも決まっていて。夏、がいいと思ってます。
オペレーター: ちなみに何名様で、ご旅行されるんですか？,カスタマー: 友達と、2人の予定です。
オペレーター: ここに行ってみたいとか、そういった何かご希望はもうございますか？,カスタマー: そうですね、せっかく北海道に行くので。美味しいものが食べたいぐらい、しかまだ決めてないです。
オペレーター: ちなみに何か<>こういう物が食べたいとか、逆に、こういう食って、こういった食材は、その苦手です、ですとか、そういった物はございますか？,カスタマー: 海の幸を食べたいなぁ、とは思っています。
オペレーター: なるほどなるほど。,カスタマー: 羊の肉が苦手なので、ジンギスカンは、NGで、
オペレーター: 札幌の、札幌じゃない、失礼いたしました、北海道のどの辺りのエリアに行くとかは、まだ決まってないという感じですかね？,カスタマー: そうですね、まだ、その辺りは決めていなくて、どうしようかなぁってとこです。
オペレーター: お店の雰囲気はどんな感じがよろしいとかってございますか、何か料亭みたいなところがいい、ですとか。,カスタマー: けっ綺麗めなとこよりも。港から、引き揚げたばっかりの。
オペレーター: なるほどなるほど。,カスタマー: 新鮮な魚介類が食べれるような、そんなところが、いいです。
オペレーター: それとも、もうちょっと観光スポットのほう見てみたいとか、ご希望はございますか？,カスタマー: そうですね、お昼と、夕飯の間けっこう時間が空くし、午前中もあるので。
オペレーター: ええ、ええ、うんうんうん。,カスタマー: 歩き回ったり、ついでにいい景色が、見れたりしたらいいなぁって思ってます。
オペレーター: な、いい景色というとやっぱ自然、スポット的な場所がよろしいですかね？,カスタマー: そうですね、自然か、あとは。北海道の、何か、歴史を感じたり、
オペレーター: なるほどなるほど。,カスタマー: そういうとこでもいいですね。
オペレーター: 北方民族資料館みたいな、ところですとか、そういった中ですと、興味ひかれる場所ってございますか？,カスタマー: 展望台って、存在を知らなかったので、ちょっと気になりますね。
オペレーター: ほかには何か。,カスタマー: あとけっこう、お土産を頼まれているので、お土産屋さん、品揃えのいいとことか、珍しい物があるとことか知りたいです。
オペレーター: 食べ物だったりとか、,カスタマー: ひとつは、沢山人に配れるような、おか、お菓子、お茶菓子類。
オペレーター: うん、ええ、ええ、ええ。,カスタマー: もうひとつは、クール便とかで、そのまま送れそうな海の幸、ですね、
オペレーター: お菓子ですとたとえば、洋菓子のような物がいいか、それとも、和菓子のようなものがいいかとか、ご希望はございますか？,カスタマー: できれば北海道限定の、お菓子で。そうですね、とくに和洋は考えていなかったので、
オペレーター: では、早速なんですけども、まずご旅行先伺ってもよろしいでしょうか？,カスタマー: 北海道行ってみたいなと思ってます。
オペレーター: 北海道に、時期はいつ頃か決めてますか？,カスタマー: そうですねー、初夏の頃がいいかなーと思ってす。
オペレーター: では、北海道、特に具体的になにかやりたいとか、こういったことしたいとか、って決められてますか？,カスタマー: そうですねー、北海道は実は何回か行ったことあって、今回は、うーんと、ぁそうですねー、道東というか、知床とか、あっちなんかの方とか、いいんじゃないかな、自然もあって、あのぁ、温泉なんかもあって、食べ物も美味しいんじゃないかなーなんて。
オペレーター: 滝とか好きですか？,カスタマー: ふふふ、好きかどうかはともかく、どんなもんだか、なんか特徴あるんだったら見てみたい気もしす。
オペレーター: 今回ってごめんなさい、お1人でしょうか？,カスタマー: 1人で行こうと思ってます。
オペレーター: 今回のご旅行はどういった感じのものを、ご希望されていますか？,カスタマー: ざっくりしてるんですけど。高原のほうに行って、きれいな景色が見れるような旅ができたらなあと思ってます。
オペレーター: お人数さまは何人ぐらいでご予定ですか？,カスタマー: じゃ、2人で。
オペレーター: 季節はいかがしましょう？,カスタマー: やっぱり夏で。
オペレーター: 特に、行きたいっていう場所とかってないですかね？,カスタマー: 日本のどこか、いいところがあれば。
オペレーター: 特に、み、見るとか遊ぶとかっていうの、見る、見る感じでよろしいですか？,カスタマー: 見るのが、見たいなあっていうのが。
オペレーター: いかがでしょうね？山に登るっていうような感じではないですかね？,カスタマー: 何でもいいんですけど、何でもっていうか、
オペレーター: はい。,カスタマー: 湖畔で何か食べたいですねー。
オペレーター: 蓼科です。,カスタマー: 蓼科ですね。おいしいおそばとか食べたいですね。
オペレーター: あとは、何か、甘いものとか食べますか？,カスタマー: 食べたいですねー。
オペレーター: と、今出てきたのケーキ屋さんがすごい多いんですけど。なん、なんでか。,カスタマー: じゃあ、ケーキに。エヘヘ。ケーキになり、乗り換えます。フフ。
オペレーター: 結構いろいろあるんですけど、和風なところと洋風なところでどちらがいいですか？,カスタマー: じゃあ、洋風できてるんで洋風でお願いします。
オペレーター: じゃあ、お風呂でちょっと汗を流して、お土産とかいかがですか？,カスタマー: お土産も買いたいですね。
オペレーター: 夕飯はいかがいたしますか？,カスタマー: 夕飯は、やっぱり洋風のもの食べたいですね。
オペレーター: もう行く方面だったりとか、地方とか、県とかってもう決まってますか？,カスタマー: 鹿児島で考えてます。
オペレーター: じゃあいつごろに行かれる感じですかね？,カスタマー: 冬ですね。
オペレーター: こちら、何人ぐらいで行かれるんですか？,カスタマー: 自分含めて友人と3人で。
オペレーター: 一応なんか、鹿児島県、でなんか、どこみてみたいとかー、そういうのってもう決まってます？,カスタマー: そうですね、とりあえず桜島は行きたいな、
オペレーター: 桜島、桜島というと、例えば、桜島でなんか見てみたいものとかがある感じですか、なんかやってみたいこととか。,カスタマー: そうですね、なんだろう、桜島のビジターセンター的なものがあれば行ってみたいですしー、あとはその周辺の、自然ですねどっちかっていうと、
オペレーター: 一応ビジターセンターに行って、桜島観光をするということですけど、ご飯とか、そういったものもお調べいたしますか？,カスタマー: そうですねー、でも、ご飯は市内とかでもいいですかね、
オペレーター: なんか特にこういうものが食べてみたいとか、こんな感じのお店に行ってみたいとかってあります？,カスタマー: そうですね、とー、とんか、黒豚のとんかつですかね<>、
オペレーター: 一点ちょっと注意していただきたいのがー、こちらは閉店日が水曜日となってますけどー、ご旅行行かれるのって土日とかですか？,カスタマー: 土日、そうですね、日曜日の予定です。
オペレーター: とんかつ専門店とかもありますね。,カスタマー: じゃあそっちではい。
オペレーター: どうですか、どっちが気になるとかありますか、なにか。,カスタマー: じゃあ、黒かつ亭で。
オペレーター: では、どうでしょう、今のところ、桜島に行くこととー、ご飯の食べる場所はだいたい決まったと思うんですけど、ほかなんか見てみたい場所ですとか、あとはなんかやてみたいことですとか、買い物したりとか、なんかあれば、お調べいたしますよ。,カスタマー: じゃそれじゃ工芸品の、そうですね、工房、見学もできて買えるようなところ、
オペレーター: あれですかね、結構、体験、作る体験みたいな、そういうものも興味ありますか？,カスタマー: そうです、体験は別にしなくてもいいかなー<>。
オペレーター: 工芸とガラス細工、工芸というか陶器みたいな、やつとガラス細工だと、どっちが興味あるとかってあります？,カスタマー: なんだ、そうですね、陶器の方で、
オペレーター: もうちょっと、つく、やっぱ、作るところ見たいって感じですか、,カスタマー: そうですね、作るところという、なんだろう、工房、そうです。
オペレーター: では、まず、今回、ご旅行の行先など、まず教えていただいてもいいですか？,カスタマー: そうですね、長崎の五島列島と、佐賀、大分、長崎を考えてます。
オペレーター: なんか、やりたいっていう形ですか？,カスタマー: どっちかというと、ちょっとゆっくりしたいので、風光明媚な観光名所というか、特に五島列島は行きたいんですよねー、五島列島でこう景色がいいところとかー、教えてもらうとありがたいでーす。
オペレーター: 五島列島、,カスタマー: 以前テレビで見て、すごい綺麗なとこだなまねえ、島がいっぱいあるらしいですけど、そのなかでもここ行ってみたいっていうのをちょっと探したいなあ。
オペレーター: これ関係ない、五島列島を見れるっていうところは、今、一件目出てきたんですけど、直接行きたい、五島列島に行きたいっていう形ですかね。,カスタマー: あーい。まずでも見てみたいですね、たぶん上から見るようなイメージですよね、それはね、そうやって。
オペレーター: 単純に五島列島ってことであれば、出てはくるんですが、単純に五島列島の島の場所が出てくる形なので。,カスタマー: 五島列島でもしちょ、海を見ながら温泉とかもし入れたらいいなあなんて思う<>。
オペレーター: これをもしかしたらどうなんだろう、九州全体とかに広げたら出てくるかもしれないんですけど。,カスタマー: なるほどなるほど、あとそうだなー、候補に<>大分も行ってみたいなあと思っててー、大分で、別府がうちの母が生家なので、ちょっとその辺回ってみたいなあと思うんですけど、なんか有名な温泉処、例えば湯布院とか別途辺りでー、おすすめの宿というか、温泉宿みたいなのって、ちょっと教えてもら<>。
オペレーター: 別府ですね、別府で、お調べして、ちょっと有名かどうかこちらでは分かりかねるんですが、あ、ちなみに、どういった、景色いいとかがいいとか。,カスタマー: やっぱ景色がよくて、<>食事もー地のものを使ってるところがいいですかねー、
オペレーター: そうですね、おそらくそうですね、で、こちら別府湾に、面してるので、別府湾が見えます、入ってるところから。,カスタマー: いいなあ、そこメモしてもらっていいですか<>、こちらも、お願いします。
オペレーター: じゃあ、今、ちゃんぽん、井出ちゃんぽんさんと、こちらの北浜温泉をメモしてるんですが、漏れってありました？今までの。,カスタマー: いなや、イナサワコウエン、稲佐山公園、最初の<>、稲佐山公園だっけ、五島列島が見える。
オペレーター: はい、はい、こちらじゃあ、<>っておいて、じゃあまた別府の方に戻って。,カスタマー: そうですね、そうだな、できればお寺というか、か神社で有名なところというか。
オペレーター: なるほど、なんだろうな、じゃあしゅ、出てこないな、歴史的な建物みたいな。,カスタマー: そうね、歴史的な建物があるという、大分県内で、はい。
オペレーター: そこが、行く時期って決まってますか？ちょ桜が咲く名所<>。,カスタマー: そうね、春、いいなーそれ、行ってみたいですねー、そこもメモしてもらっていいですか、<>大分のな、何市って分かります？
オペレーター: 一応こちらもー、展望台から、別府湾一望できるってなってます。,カスタマー: いいですね、あとねー、神社でー、僕は、御朱印集めるのが、今ちょっとハマってまして、面白いっていうとあれだけど、ちょと特色がある御朱印が欲しいんですよ、<>要は、なんだろう、こう、判子っていうか、<>参拝しましたよっていう、そういう<>なんですけど。
オペレーター: みそぎ、<>どうしましょう、これ一応<>、,カスタマー: これもメモしてもらっていいですか、メモしてもらっていいですか。
オペレーター: 五島列島で。,カスタマー: 何でも、やっぱ海の幸というか、できれば、できれば。
オペレーター: このなかでなんか特に気になったものってありますか？,カスタマー: 特に気になったもの、竹酔亭が気になりますねー、
オペレーター: 本日はご利用いただきまして、ありがとうございます、お客様どのようなご旅行をお考えでしょうか？,カスタマー: 東北に。行きたいなっていう風に考えております、
オペレーター: かしこまりました。お客様、一緒に行かれるご同行者様は何名様になりますか？,カスタマー: 4人になります。
オペレーター: かしこまりました。行かれる時期とかはお決まりでしょうか？,カスタマー: だいたい12月の終わり年末ぐらい。を予定しております。
オペレーター: かしこまりました。例えば、温泉でゆっくりしたいですとか、何か観光したいですとかそういったご要望はございますか？,カスタマー: 冬なので。観光は寒いかなって思うので。できれば温泉とかがあれば良いかなっていう思いもあります。
オペレーター: あとやはり何かりんごみたいな…りんごとかのお菓子とか、そういったものも買われたいですか？,カスタマー: お菓子とかでも、りんごそのもの<>りんごが美味しい特売所とかそういうのがあれば、
オペレーター: ありがとうございました、どういった内容になりますでしょうか？,カスタマー: 週末に、1泊旅行で温泉に行きたいと思ってるんですけどー。
オペレーター: 週末、もう、すぐのシーズンでしょうか、それとも春とか…,カスタマー: 来月、なんですけど。
オペレーター: どうでしょう、お客様？,カスタマー: やっぱり、この季節は雪見温泉がいいですね。
オペレーター: 雪見温泉いいですねー、雪見温泉ということはやっぱり北海道、東北地方でお調べするのがよろしいですかね？,カスタマー: 北海道がいいかなあっと思ってるんですけど
オペレーター: <>やっぱりー、北海道のような、北海道らしい自然をお楽しみいただきながらー、のほうがいいですかね。,カスタマー: 洞窟風呂とかあったら最高なんですけど。
オペレーター: <>なので、もしよろしければですね、この定山渓温泉のほうを候補の一つに入れられると<>,カスタマー: ぜひそうしてください。
オペレーター: ワイワイガヤガヤ的な感じは、ちょこっとあるかもしれませんね。,カスタマー: そこいいんですけど、できたらもうちょっとー、小規模なー、静かなところのほうがいいんですけどー。
オペレーター: で、お客様、それでも洞窟風呂はあったほうがよろしいでしょうか、それとも静かな場所ご優先で、,カスタマー: どちらかというと、静かな方優先で、お願いします。
オペレーター: それと、例えば札幌ラーメンだとどちらがよろしいでしょうか？,カスタマー: せっかくだから札幌ラーメンかな？
オペレーター: では、お客様、あとー、お買い物等はいかがですか？お土産とか買わない…<>？,カスタマー: それはー、帰る前にー、市内でー、空港でもいいしー、そんなに時間使おうとは思ってないんで。
オペレーター: ご旅行の方なんですけども、どちらの方面に、いつぐらいの時期に行きたいと思ってらっしゃいますか？,カスタマー: に、新潟県の。新潟県の。越後湯沢ってところ。
オペレーター: 越後湯沢では、どういったことをされたいですか？,カスタマー: えー、絵画展を見に行く。友人と行く、行こうかなと思ってるんですけど。
オペレーター: 和食とか洋食とか、なにか、ご要望はありますか？,カスタマー: そうだね。和食がいいかな。
オペレーター: 春。,カスタマー: だ、だ、温泉もね、割と有名って聞いたんで。有名っていうか、それも行きたいかなっていう、だから、
オペレーター: あとは、お鍋であったりとか。,カスタマー: お鍋ね。いや、お鍋がいいかな、やっぱりな。
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: 冬に。北海道に、1人で、1日使って。観光をしに行きたいと思ってます。
オペレーター: かしこまりました。冬にですね、,カスタマー: はい。
オペレーター: 北海道へ、お一人さまですね？,カスタマー: はい。
オペレーター: そういったご要望はございますか？,カスタマー: 一応、札幌辺りで考えてますね。
オペレーター: 札幌で、何か観光したいとか、そういったご要望でよろしいですか？,カスタマー: そうですね。
オペレーター: 博物館とか、ご興味ございますか？,カスタマー: 今まで見たことなかったので、寄ってみようかなと思います。
オペレーター: で、こちら。,カスタマー: これ、月曜日で考えてたんで。
オペレーター: あと、他に、札幌以外で何かどこか、ご興味ある場所とかございますか？,カスタマー: お買い物したいと思うんですけど。
オペレーター: かしこまり…。,カスタマー: 洋服。
オペレーター: 例えばなんですけれども、ショッピングセンターみたいなところがよろしいですかね？,カスタマー: アパレル系が集まってるような。お店だと助かります。
オペレーター: 大変便利なところでございますね。,カスタマー: じゃ、べ、じゃあ、お昼。そこで札幌ラーメン食べて。お昼過ぎに買い物しようと思います。
オペレーター: こちらでお土産を買わ、買われてもよろしいかと思います。,カスタマー: できたら帰る直前がいいんで。
オペレーター: カニ、カニ料理はお好きですか？,カスタマー: 好きですね。
オペレーター: 温泉施設で食べる、で探したほうがよろしいですかね？,カスタマー: いったん外に出<>と。寒いんで。
オペレーター: あと他に何か、何か見てみたいですとか、買いたいものとか、そういったご要望はございますか？,カスタマー: お昼買い物した後に、時間があれば。動物が好きなんで。動物、見れるところがあれば、寄ろうかなと思います。
オペレーター: ご興味ございますか？,カスタマー: そこに行きたいです。
オペレーター: も楽しめることができます。,カスタマー: じゃあ、さっきの所で良さそうですね。
オペレーター: こちらのほうが、,カスタマー: あそこにします。
オペレーター: よろしいかと思うんです。,カスタマー: そこに、行きますね。1個目の所より良かったんで。
オペレーター: ではお客様、今回のご旅行のなんか行き先だったりとかは、なんかもく、こういうことがしたいとか、なんか目的のようなものってもうお決まりでしょうか？,カスタマー: 特にですね、行き先からご相談させていただきたかったんですが。まずー、目的はー、もう明確でしてー。日本酒が好きなもんですから。
オペレーター: 日本酒ですね。,カスタマー: 飲み比べ…飲み歩き…と。
オペレーター: なるほど。,カスタマー: あと、ある程度ですね、宅急便で、同じく日本酒仲間の友人に、そっから送ってやりたいと。と思ってまして。それも、ゆ…有名な酒処だけとは限らず、ちょっとそうじゃないけど結構ツウは唸るというようなエリアがあれば、ちょっとお調べいただけたらなと思ってます。
オペレーター: 例えば日本酒を飲まれるということですけど、居酒屋で飲むというよりは、例えば酒造とかに行ってみたりとか、そういった感じの方がよろしいですかね？,カスタマー: 是非それ…とですね、あと、ちょ、ちょっと、もうひとつ、付け加えさせていただきますと。必ずしもですね、だい、大吟醸のような、最高級のものじゃなくてですね。大吟醸じゃないのに、根強い人気を維持してるというような。じゅ、純米であることは、最低条件ですけど。
オペレーター: なるほど。,カスタマー: 必ずしも大吟醸だから嬉しいというのではない、ということで、ちょっと情報をいただければと思ってます。
オペレーター: あとー、,カスタマー: できれば、あとはー、そのお酒とー、一緒にちょっと食べて美味しいものがあるという所だと、嬉しさが倍増するんで。
オペレーター: 楽しそう、そうですよね。,カスタマー: それも、い、一緒に、て、提案いただければありがたいです。
オペレーター: やっぱりちょっとあまりち、東京関東圏からちょっと離れてるところとかの方がほうが、いいですかね？,カスタマー: やっぱり旅行気分味わいたいですね。埼玉に住んでますので、あんまり埼玉のお酒で旅行気分はちょっと無理かな…。
オペレーター: ンフフ、そうですよね。日帰りで行けちゃいますもんね、埼玉でしたら。,カスタマー: 仲間に送っても多分、ありがたがってくれないと思うんで。ちょ、ちょっと珍しいところ。
オペレーター: では、まず、じゃあ、き、行くエリアは、じゃあ、秋田市の方に行くという感じでよろしいでしょうか？,カスタマー: すいません、こ、ここですね、せっかく調べていただいたんですけど、別の、観点でも教えていただきたいんですけど。せっかくなのでですね、酒処の福島…の、この支援もしたい…復興支援という意味も考えて、福島でもいいとこがあればですね。
オペレーター: じゃ、こちらが<>、,カスタマー: これは先ほどの、た、高清水みたいに、ほ、本当の酒蔵をこう観光施設化したとかそういうものではないんですか？
オペレーター: もう…内陸ですね、完全に。,カスタマー: としますとですねー、せっかくお調べいただいたんですけど、このー、福島も捨てがたいんですけど。やはり海に面した秋田で。でー、かい、海産物と一緒に、というほうが、魅力的かな。
オペレーター: そしたらじゃあやっぱり、秋田県で…。,カスタマー: うん、だからやっぱり秋田のコース。
オペレーター: 秋田コースで探していきましょうか？,カスタマー: 高清水と飲み比べられる別の蔵のようなものがあったらふた、ふたつみっつ、み、みんな巡りたいなーって感じですね。
オペレーター: ちなみに季節はいつ頃行くっていうのは決まっていらっしゃるんでしたっけ？,カスタマー: えっとですね、ぜ、もう、ど、どうせならやっぱり、し、新酒が出る、冬、冬…。
オペレーター: では今のところ2件、酒造を回ることがとりあえず決まったと思うんですけど、他なにか秋田県で見たいものでしたりとか、やってみたいこととかって。,カスタマー: 今は酒蔵の視点でお調べいただいたんですが。やっぱりそこら、秋田の海沿い近辺で、おそらく、ちゃ、ちゃんとしたお料理のお店なら、もう鳥海山も高清水も全部出してくれると思うんで…、な、なんか、いいお店があればですね、お酒と一緒にちょっと堪能したいなと思ってます。
オペレーター: それ以外ですと、地鶏とかも有名みたいですね。,カスタマー: た、ただひとつですね、鶏出汁とかで、あのきりたんぽ鍋ですね、ゆ、有名なんですけどー。私ですね、お、おな、お鍋でお腹膨らますのがちょっと、お、日本酒と飲む時あんまり嫌なんで。
オペレーター: なるほど、なるほど。,カスタマー: な、鍋じゃない…もので日本酒を楽しみたいと思ってますんで。き、きりたんぽ以外のところを、お知らせいただければなと。
オペレーター: ぎょ、そういえば魚介鍋みたいなのもちょっと違いますもんね。,カスタマー: 鍋じゃないのにしていただければ、嬉しいんで。
オペレーター: 両方ある店、おさ、お刺身とかもあったりー、おそらくこれ地鶏かな、地鶏の肉じゃがみたいなものとか、そういうちょっとツマミに良さそうなものがたくさんあるお店とかも、見つかってますね。,カスタマー: できればですね、魚ひと筋とか、鶏ひと筋とか、専門店の方がなんか、すごそうな感じがするので、そっちの方が。
オペレーター: ではせっかくですんで、やっぱ海鮮に特化したお店とかも気になりますよね。,カスタマー: そうですね。お昼は親子丼にしてですね。ちょっと夜は本格的に飲みたいんで。か、海鮮…かなんかゆ、ちょっとゆったりできるお店があれば是非、ご紹介いただきたいです。
オペレーター: 確かに。,カスタマー: も、な、も、な、鍋しかやってませんっていう店だけは避けていただければ、もう普通の刺身で一杯やりたいなと思ってますんで。
オペレーター: 他にはですね、やっぱ一応、海鮮丼みたいな感じで売ってるお店が結構出てきてますね。,カスタマー: できればねー、よ、夜はー、お米は入れずに…
オペレーター: ほんと、お酒と魚介類だけでって感じが、いいですよね。,カスタマー: お酒がお米代わりにして。
オペレーター: お客様、どのようなご旅行をお考えでしょうか?,カスタマー: この冬に、親孝行じゃないですけれども。両親を連れて、東北に行ってみたいと思いまして。
オペレーター: 東北のどちらかとゆーと、場所はお決まりですか?,カスタマー: 一応、仙台とその周辺辺りがいいかなって、漠然と思っているんですけれども。
オペレーター: ご要望はございますか?,カスタマー: もちろん、今回、若松も考えたんですけど。色々そーゆー話をしてくれた思い出があるんで、そしたら、仙台の方がいいのかなと、イメージして、
オペレーター: そうしましたら、仙台で、もう少しどこか、観て楽しめるようなところを探してみましょうか?,カスタマー: 少し時もあるので、もしあれだったら、仙台がわりと近いとこで。もし、市内にもし、限らなくても、乗り物、楽しみながら。
オペレーター: そうですね。,カスタマー: わりと近い、近場で、他に、周辺があればなーなんてことも思うんですけどもね、
オペレーター: そうですね、ただいまお調べいたしますので、少々お待ちください。,カスタマー: 仙台駅とかって、よくNHKのニュースなんかでも写るじゃないですか?ははは、
オペレーター: そうですねー。,カスタマー: 見たことのある風景みたいのじゃなくて、ふ。ちょっと違った風景が見れると、なんだ、いや、兼六園じゃないけど、だから、そーゆーお庭が綺麗、観光用の。観光用まで言わないけど。城下町だったら、そーゆーとこ、ありますかね?
オペレーター: お客様、どのようなご旅行をご希望でしょうか？,カスタマー: 京都に旅行に行きたいんですけれども。
オペレーター: はい。お客様、ご同行者様は何名様ですか？,カスタマー: 2名です。
オペレーター: 2名様ですね。いつ頃の、ご、ご旅行の予定ですか？,カスタマー: 秋頃に、旅行したいです。
オペレーター: お客様、京都に行かれまして、何か見てみたいですとか、そういったご要望はございますか？,カスタマー: 紅葉を見に行きたいんですけれども。
オペレーター: かしこまりました。すいません、お客様の方で、京都に行かれまして、何か見てみたいですとか、食べてみたいですとか、そういったご要望はございますか？,カスタマー: おしゃれなカフェ巡りに。行きたいと思ってます。
オペレーター: あとお客様、何か京都で、見てみたいですとか、行ってみたい観光地ですとか、そういったご要望はございますか？,カスタマー: とー、世界遺産とっかとか、名勝を巡りたいんですけれども。
オペレーター: 他に、じゃあ、見てみたいところで、何か他にございますか？,カスタマー: 和菓子作りだとか、そういう自分で何か体験できること<>も。
オペレーター: で、あとですね、こちらでお勧めできるところとして。お客様の方で何かご要望とかございますか？,カスタマー: なにかを。
オペレーター: 食べて…,カスタマー: 和菓子で美味しそうな、お店があれば知りたい<>。<>、
オペレーター: あと、お客様の方で何か見てみたいですとか、か、買いたいものですとか、ご要望はございますか？,カスタマー: ほかに、食べ…もので、美味しいお店があれば。
オペレーター: お客様、何か和食ですとか、何かそういった、ご要望はございますか？,カスタマー: 和食で、美味しいお店が、
オペレーター: 何かご要望はございますか？,カスタマー: お肉料理で。
オペレーター: ありがとうございます、ではお客様どういったご旅行をなさりたいか何かアイデアございますか？,カスタマー: 滝を見て、できれば近づけだけ近づいてー、マイナスイオンっていうか、こう、しぶきがかかるようなところまで、<>認められたところまで行って、なんかこうマイナスイオンを浴びて癒されたいなと。
オペレーター: かしこまりました、ではですね、こちら日本全国に滝ございますので、どのあたりがよいとか、なんらかのざっくりとした場所の感じでですね、ご希望をお聞かせいただけるとありがたいんですけれども、例えば北海道がいいとか、東北がいいとか、関東がいいとか、いかがでしょうか？,カスタマー: そうですね、東北地方あたりで、なんかいいものがあれば。
オペレーター: こちらご旅行なさるのは春とか夏とか秋とか、そういった季節ですか？,カスタマー: 初夏から夏にかけて、冬だとちょっと寒いかなと思うので。
オペレーター: ではどうしましょう、やっぱりまず美味しそうなお食事を探してみますか、それともなんか見る場所をもう一個見つけておきますか。,カスタマー: じゃあ見るものをもう一つ、
オペレーター: どうしましょう、滝をご覧になるわけですけれども、ほかにも何か自然のものがよろしいですか。,カスタマー: 滝にはこだわらず、<>森とか<>またマイナスイオンぷうなっちゃうんですけど、森の<>心を癒すとか、綺麗な<>を見るとか、そんな<>散策みたいな感じ。
