previous_operator_utterance,current_utterance
オペレーター: ほかには何か。,カスタマー: わ、あとけっこう、お土産を頼まれているので、お土産屋さん、はい、品揃えのいいとことか、珍しい物があるとことか知りたいです。
オペレーター: 何か、食べ物だったりとか、はいはい、どうぞ。,カスタマー: ひとつ、はい、はい、ひとつは、まあ沢山あのー、人に配れるような、おか、お菓子、お茶菓子類。
オペレーター: うん、ええ、ええ、ええ。,カスタマー: もうひとつは、クール便とかで、そのまま送れそうな海の幸、ですね、はい。
オペレーター: お菓子ですとたとえば、何か洋菓子のような物がいいか、それとも何か、和菓子のようなものがいいかとか、ご希望はございますか？,カスタマー: はい、ああー、できれば北海道限定の、はい、お菓子で。
オペレーター: ええ、ええ。,カスタマー: そうですね、とくに和洋は考えていなかったので、はい。
オペレーター: では、えーと、早速なんですけども、まずご旅行先伺ってもよろしいでしょうか？,カスタマー: はい。えーっと北海道行ってみたいなと思ってます。
オペレーター: 北海道に、時期はいつ頃か決めてますか？,カスタマー: そうですねー、ま初夏の頃がいいかなーと思ってます。
オペレーター: でえーは、えー北海道、特に具体的になにかやりたいとか、こういったことしたいとか、って決められてますか？,カスタマー: そうですねー、ま北海道は実は何回か行ったことあって、今回は、うーんと、まぁそうですねー、道東というか、あのー、うーん、あの、なんだあの、うーんと、知床とか、あっちなんかの方とか、いいんじゃないかな、なんかこう自然もあって、あのまぁ、温泉なんかもあって、なんか、食べ物も美味しいんじゃないかなーなんて。
オペレーター: えー、滝とか好きですか？,カスタマー: ふふふ、好きかどうかはともかく、まどんなもんだか、なんか特徴あるんだったら見てみたい気もします。
オペレーター: あと、今回ってごめんなさい、えっとー、お1人でしょうか？えっとー。,カスタマー: あ、1人で行こうと思ってます。
オペレーター: はい、えーと、もうなんか行く方面だったりとか、地方とか、県とかってもう決まってますか？,カスタマー: あっと、鹿児島で考えてます。
オペレーター: じゃあいつごろに行かれる感じですかね？,カスタマー: と、冬ですね。
オペレーター: え、こちら、えーとー、何人ぐらいで行かれるんですか？,カスタマー: とー、自分含めて友人と3人で。
オペレーター: はい、一応なんか、鹿児島県、でなんか、どこみてみたいとかー、そういうのってもう決まってます？,カスタマー: そうですね、えーとー、まあとりあえず桜島は行きたいな、はい。
オペレーター: 桜島、桜島というと、例えば、桜島でなんか見てみたいものとかがある感じですか、なんかやってみたいこととか。,カスタマー: そうですね、えっとー、まあちょっと、なんだろう、桜島のビジターセンター的なものがあれば行ってみたいですしー、あのーまあ、あとはその周辺の、まあ自然ですねどっちかっていうと、はい。
オペレーター: はい、一応まあ、ビジターセンターに行って、まあ、桜島観光をするということですけど、なんかご飯とか、そういったものもお調べいたしますか？,カスタマー: そうですねー、あ、でも、ご飯は市内とかでもいいですかね、はい。
オペレーター: なんか特にこういうものが食べてみたいとか、こんな感じのお店に行ってみたいとかってあります？,カスタマー: そうですね、とー、とんか、黒豚のとんかつですかね<>、はい。
オペレーター: あ、一点ちょっと注意していただきたいのがー、こちらは閉店日が水曜日となってますけどー、ご旅行行かれるのって土日とかですか？,カスタマー: 土日、そうですね、日曜日の予定です。
オペレーター: あ、なんかとんかつ専門店とかもありますね。,カスタマー: あ、じゃあそっちでちょっと、はい。
オペレーター: どうですか、どっちが気になるとかありますか、なにか。,カスタマー: じゃあ、黒かつ亭で。
オペレーター: はい、では、えーと、どうでしょう、今のところ、まあ桜島に行くこととー、まあご飯の食べる場所はだいたい決まったと思うんですけど、ほかなんか見てみたい場所ですとか、あとはなんかやてみたいことですとか、買い物したりとか、なんかあれば、お調べいたしますよ。,カスタマー: えーと、じゃあ、それじゃあ、工芸品の、そうですね、えっと、工房、見学もできて買えるようなところ、あ、はい。
オペレーター: なんかあれですかね、結構、体験、作る体験みたいな、そういうものも興味ありますか？,カスタマー: あー、そうです、体験は別にしなくてもいいかなー<>。
オペレーター: 工芸とガラス細工、工芸というかなんか、陶器みたいな、こう、やつとガラス細工だと、どっちが興味あるとかってあります？,カスタマー: そう、なんだ、そうですね、陶器の方で、はい。
オペレーター: もうちょっと、つく、まあやっぱ、作るところ見たいって感じですか、こう。,カスタマー: そうですね、まあ、作るところという、なんだろう、なんか工房、そうです。
オペレーター: はい、本日はご利用いただきまして、ありがとうございます、お客様どのようなご旅行をお考えでしょうか？,カスタマー: そうですね、えっと東北に。
オペレーター: はい。,カスタマー: まぁちょっと行きたいなっていう風に考えております、はい。
オペレーター: はい、かしこまりました。お客様、あのー一緒に行かれるご同行者様は何名様になりますか？,カスタマー: あ、4人になります。
オペレーター: かしこまりました。はい、えーと行かれる時期とかはお決まりでしょうか？,カスタマー: そうですね、だいたい12月の終わり年末ぐらい。
オペレーター: はい。,カスタマー: を予定しております。
オペレーター: はい、はい、あっはい、はい、かしこまりました。例えば、あの温泉でゆっくりしたいですとか、何か観光したいですとかそういったご要望はございますか？,カスタマー: まぁ冬なので。
オペレーター: はい。,カスタマー: ちょっと観光は寒いかなって思うので。
オペレーター: あーはい。,カスタマー: まぁできれば温泉とかがあれば良いかなっていう思いもあります。
オペレーター: あとそうですね、やはり何かりんごみたいな…りんごとかのお菓子とか、そういったものも買われたいですか？,カスタマー: あーそうですね、なんかお菓子とかでも、まぁそのりんごそのもの<>りんごが美味しい特売所とかそういうのがあれば、はい。
オペレーター: えっと、ご旅行の方なんですけども、どちらの方面に、あの、いつぐらいの時期に行きたいと思ってらっしゃいますか？,カスタマー: に、新潟県の。
オペレーター: はい。,カスタマー: 新潟県の。
オペレーター: はい。,カスタマー: あの、越後湯沢ってところ。
オペレーター: 越後湯沢では、あの、どういったことをされたいですか？,カスタマー: あの、一応、あの、あの、えー、絵画展を見に行く。ま、友人と行く、あの、行こうかなと思ってるんですけど。
オペレーター: あのー、和食とか洋食とか、なにか、あの、ご要望はありますか？,カスタマー: そうだね。和食がいいかな。
オペレーター: 春。,カスタマー: だ、だ、温泉もね、あのー、割とこう、有名って聞いたんで。有名っていうか、あの、それも行きたいかなっていう、だから、まー、そういう。
オペレーター: あとは、あの、お鍋であったりとか。,カスタマー: あ、お鍋ね。いや、お鍋がいいかな、やっぱりな。
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: えっと、冬に。
オペレーター: はい。,カスタマー: 北海道に、あの、ちょっと、1人で、1日使って。
オペレーター: はい。,カスタマー: 観光をしに行きたいと思ってます。
オペレーター: はい。かしこまりました。はい。冬にですね、はい。,カスタマー: はい。
オペレーター: 北海道へ、お一人さまですね？,カスタマー: はい。
オペレーター: そういったご要望はございますか？,カスタマー: 一応、札幌辺りで考えてますね。
オペレーター: はい。札幌で、あ、何か観光したいとか、そういったご要望でよろしいですか？,カスタマー: そうですね。
オペレーター: はい。あの、博物館とか、ご興味ございますか？,カスタマー: そうですねー、な、今まで見たことなかったので、ちょっと。
オペレーター: はい。,カスタマー: 寄ってみようかなと思います。
オペレーター: ええ。で、こちら。,カスタマー: これ、月曜日で考えてたんで。
オペレーター: あと、他に、あのー、札幌以外で何かどこか、ご興味ある場所とかございますか？,カスタマー: あー、そうですね、ちょっとお買い物したいと思うんですけど。
オペレーター: あ、かしこまり…。,カスタマー: 洋服。
オペレーター: 例えばなんですけれども、ショッピングセンターみたいなところがよろしいですかね？,カスタマー: そうですね。アパレル系が集まってるような。
オペレーター: はい。あ、はい。,カスタマー: お店だと助かります。
オペレーター: 大変便利なところでございますね。はい。,カスタマー: あー、じゃ、べ、じゃあ、お昼。
オペレーター: うん。,カスタマー: そこで札幌ラーメン食べて。
オペレーター: はい。,カスタマー: お昼過ぎに買い物しようと思います。
オペレーター: はい。うん。,カスタマー: できたら帰る直前がいいんで。うん。
オペレーター: カニ、カニ料理はお好きですか？,カスタマー: ま、好きですね。
オペレーター: あのー、その、温泉施設で食べる、で探したほうがよろしいですかね？,カスタマー: そうですね。いったん外に出<>と。
オペレーター: ああー、ですね。はい。,カスタマー: 寒いんで。はい。
オペレーター: はい。はい。あと他に何か、あのー、何か見てみたいですとか、あのー、買いたいものとか、そういったご要望はございますか？,カスタマー: んー、お昼買い物した後に、時間があれば。
オペレーター: はい。はい。,カスタマー: えーと、ま、動物が好きなんで。
オペレーター: ええ、ええ、ええ、ええ。,カスタマー: 動物、見れるところがあれば、寄ろうかなと思います。
オペレーター: はい。,カスタマー: そこに行きたいです。
オペレーター: も楽しめることができます。,カスタマー: ああ。じゃあ、さっきの所で良さそうですね。
オペレーター: うん。そうですね、こちらのほうが、ほ、うん。,カスタマー: あそこにします。
オペレーター: はい。,カスタマー: そこに、行きますね。1個目の所より良かったんで。
オペレーター: はい。,カスタマー: と、この冬に、あのー、ま、親孝行じゃないですけれども。
オペレーター: はい。,カスタマー: ちょっと、両親を連れて、ま、えー、東北に行ってみたいと思いまして。
オペレーター: はい、えーとですね、東北のどちらかとゆーと、場所はお決まりですか?,カスタマー: あ、ま、一応、仙台とその周辺辺りがいいかなって、こー漠然と思っているんですけれども。
オペレーター: はい。,カスタマー: うん、で、まー、もち、まーまー、もちろん、今回、若松も考えたんですけど。
オペレーター: はい。,カスタマー: まー、でも、なんか、あのー、色々そーゆー話をしてくれた思い出があるんで、まー。
オペレーター: はい。,カスタマー: そしたら、仙台の方がいいのかなと、ま、イメージして、えー。
オペレーター: はい、えー。,カスタマー: あーのー、少し時もあるので、もしあれだったら、その。
オペレーター: はい。,カスタマー: 仙台がわりと近いとこで。
オペレーター: はい。,カスタマー: うん、あの、もし、市内にもし、限らなくても、まー、ちょっと、乗り物、楽しみながら。
オペレーター: 多少、あ。,カスタマー: へ、うん、わりと近い、近場で、他に、周辺があればなーなんてことも思うんですけどもね、うーん。
オペレーター: そうですね、はい、ただいまお調べいたしますので、少々お待ちください。,カスタマー: ま、仙台駅とかって、よくNHKのニュースなんかでもこー、写るじゃないですか?ははは、えー。
オペレーター: はい、はい、はい、そうですねー。,カスタマー: ちょっと、見たことのある風景みたいのじゃなくて、ふ。
オペレーター: えーえーえ、はい。,カスタマー: ちょっと違った風景が見れると、はい。
オペレーター: はい。,カスタマー: なんだ、いや、兼六園じゃないけど、なんかだから、そーゆーお庭が綺麗、ね、なんか観光用の。
オペレーター: はい。はい。,カスタマー: 観光用まで言わないけど。
オペレーター: えーえーえー<>,カスタマー: 城下町だったら、そーゆーとこ、ありますかね?
オペレーター: お客様、どのようなご旅行をご希望でしょうか？,カスタマー: とー、京都に旅行に行きたいんですけれども。
オペレーター: はい。お客様、ご同行者様は何名様ですか？,カスタマー: 2名です。
オペレーター: 2名様ですね。えーと、いつ頃の、ご、ご旅行の予定ですか？,カスタマー: とー、秋頃に、旅行したいです。
オペレーター: はい。お客様、あのー、京都に行かれまして、あのー、何か見てみたいですとか、そういったご要望はございますか？,カスタマー: とー、紅葉を見に行きたいんですけれども。
オペレーター: かしこまりました。あと、すいません、お客様の方で、あのー、京都に行かれまして、何か見てみたいですとか、あの、食べてみたいですとか、そういったご要望はございますか？,カスタマー: とー、おしゃれなカフェ巡りに。
オペレーター: はい。,カスタマー: えー、行きたいと思ってます。
オペレーター: はい。あとお客様、何か京都で、見てみたいですとか、あのー、行ってみたい観光地ですとか、そういったご要望はございますか？,カスタマー: とー、世界遺産とっかとか、名勝を巡りたいんですけれども。
オペレーター: はい。他に、じゃあ、ちょっとあのー、見てみたいところで、何か他にございますか？,カスタマー: えーとー、なんかこう、和菓子作りだとか、そういう自分で何か体験できること<>も。
オペレーター: はい。,カスタマー: まあ、うーん、なにかを。
オペレーター: 食べて…はい。はい。,カスタマー: 和菓子で美味しそうな、はい、お店があれば知りたい<>。<>、うんー。
オペレーター: はーい。あと、お客様の方で何か見てみたいですとか、か、買いたいものですとか、ご要望はございますか？,カスタマー: とー、そうですねー、ほかに、あの、食べ…んー、もので、美味しいお店があれば。はい。
オペレーター: お客様、あのー、何か和食ですとか、何かそういった、あのー、ご要望はございますか？,カスタマー: そうですね、和食で、美味しいお店が、はい。
オペレーター: 何かご要望はございますか？,カスタマー: お肉料理で。
オペレーター: はい、ありがとうございます。えーっと、行きたい場所とかって、もう決まってらっしゃいますか？,カスタマー: いやそれが、北海道ってだ<>結構いろいろ行く場所があるので、どこにしようかっていうのは結構悩んでてー。
オペレーター: ちなみに、えーっと、行かれるご予定の季節とかって、いつになりますか？,カスタマー: あ、夏休みーに、ちょっと北海道に住んでいる友達のとこに遊びに行こうかと思ってるんですけど。
オペレーター: ちなみになんか、北海道に行ってー、そのなんかやってみたいことだったり、なんか食べてみたいものとか、なんかそういった候補とかってー、今のところございますか？,カスタマー: やってみたい...なんか他にも見てみたいんですけど、1個絶対やりたいのがー、あの、川下り？
オペレーター: はい、あ、川下り。,カスタマー: なんか、北海道でできるって聞いてー。
オペレーター: あーそー、はいはいはい。,カスタマー: <>してみたいなって、思ってるんですけど。
オペレーター: えー、一応ラフティングされるという、川下りされるということですが、他なんかやってみたいこととかー、なんか思いついたりします？,カスタマー: はい、他…北海道ですよね、なんか真っ白…友達は結構鳥とか見るのが好きなんでー、
オペレーター: えー、一応ラフティングされるという、川下りされるということですが、他なんかやってみたいこととかー、なんか思いついたりします？,カスタマー: なんか、自然、なんか動物が観察できる所だったらいいかなー、って
オペレーター: なんか、何が食べたいかとか、どういうものが食べてみたいとかって、ありますか？,カスタマー: あのせっかく北海道行くんで、魚介類食べたいなーとか思うんですけど。
オペレーター: 刺身の盛り合わせ的なやつとか、それともなんか海鮮丼みたいなやつとかー、まあ、鍋とか、,カスタマー: あ、でも、刺し身ー、とか、カニとか食べたくて。
オペレーター: 記載されてるんで、おそらくあるんじゃないかなー、と思います。,カスタマー: <>カニ食べたいです
オペレーター: そうですね、えー、で、夜はカニで、お昼、どんなものがご希望とかって…,カスタマー: お昼はー、なんか洋食で軽めに食べたいんですけどー。
オペレーター: えーと、やっぱー、夜は魚介なのでなんか違うほうがいいですかね、昼はお肉だったりとか。,カスタマー: そうですね、お肉とか野菜とか。
オペレーター: 本日はご利用いただきましてありがとうございます。お客様、どのようなご旅行をお考えでしょうか？,カスタマー: はい、秋に東北旅行に行きたいなと思っていて。
オペレーター: はい。,カスタマー: 友達3人くらいと行きたいなと思ってます。
オペレーター: はいえっとお客様、あの東北地方の、えっとどの辺りに行かれたいかとかあのそういったご要望はございますか？,カスタマー: そうですね東北地方に一回も行ったことがないので、東北といえばみたいなこう、メインの名物みたいな所にいければいいなって思います。
オペレーター: あの本日はどのようなご旅行をご希望でいらっしゃいますでしょうか？,カスタマー: えっとー、ちょっと神奈川県を見てまわりたいと思っていて、はい。
オペレーター: はい。,カスタマー: でー、そうですね、ちょっとまぁ有名な観光地まわりたいなと思ってるんですけど。
オペレーター: あ、承知しました、あの季節とかなにかご希望ございますか？,カスタマー: あ、季節はえっとー、夏に行こうかなと思ってます。
オペレーター: 神奈川県ですと、あのー、神奈川県だと、美術館とかが多いんですけれども。,カスタマー: あ、いいですね、美術館。
オペレーター: あの美術館とか、あとこの彫刻を見るとか、どちらがいいですかね？,カスタマー: そうですねー、絵よりも彫刻の方がとりあえず見たいかなぁとは思います。
オペレーター: はい、あ。,カスタマー: はい、じゃあとりあえずそこに最初に行こうかなと思います。
オペレーター: ではあのジョイナス森の、えー彫刻公園をあのチェックしておきますね。,カスタマー: はい、お願いしまーす。
オペレーター: あとはなにかあのー、見たいものとかございますか？,カスタマー: そうですねー、まあのそこから、まぁそんなに遠く、まぁ遠くてもいいんですけれども、なんか、まぁ彫刻を見たので、やっぱりそのさっき言っていたような絵とかをもうちょっと見たいなーって思うんですけれども、美術館とかそういうのがありますかね。
オペレーター: えっとー、距離としては、えー、駅、あの、横浜駅、駅の東口から徒歩で3分でございます。,カスタマー: なんかそうしましたら、じゃあそ、あのーさっき行った彫刻の展示とよ、合わせて見に行きたいなと思います。
オペレーター: じゃあこちらもチェック入れておきますね。,カスタマー: はい、お願いします。
オペレーター: あのー、お食事とか合わせていかがでしょうか？,カスタマー: そうですねー、まその2つをこうゆっくり見てまわった後に、たぶんこう昼食かなっていうイメージが今ちょっとあるんですけど。
オペレーター: はい。,カスタマー: こう、ま今回1人でちょっと巡ろうかと思っていて、でーこう1人でも入りやすそうな、こうあんまりこう敷居が高くなさそうな、なんか和食のお店があったらいいなと思うんですけども、はい。
オペレーター: もうちょっと探してみますか？,カスタマー: そうですね、じゃ一応そこキープというか、あの一応あのー置いておいて、もう1件くらいなにかあれば、はい。
オペレーター: え、お蕎麦っていいますと、あのー和風のお蕎麦がよろしいですかね？,カスタマー: あ、そうですね、日本蕎麦がいいかなとは思います。
オペレーター: はい、美味しそうですよとても、写真は。,カスタマー: までも、今回はまぁちょっとこう、行ったことないとこに行きたいっていうのがちょっとあるので、やっぱりその1件目のお店、紹介していただいたお店に昼食はそこにしようかなって思います。
オペレーター: ではあのー、他になにかあのご覧になりたいものとか行ってみたいところとかございますでしょうか？,カスタマー: そうですねー、えっとー、やっぱりーあのー、その日はえっと美術館とかそういうのを巡りたいと思っていて、で今回あのーデパートに入って、百貨店とかに入ってるあのギャラリーを教えていただいたと思うんですけど、あのー、単館で、そ、そのものが建ってる美術館とかって近くにあったりしますかね？はい。
オペレーター: いかがですか？,カスタマー: あ、はい、ぜひそこじゃあちょっと気になるんで、行きたいと思います。
オペレーター: はい、はは、ここをちょっと入れておきますねー。,カスタマー: お願いします。
オペレーター: あとはー、岡本太郎の美術館とかもございますが、お好きですか？,カスタマー: あ、岡本太郎すごい好きなのでぜひちょっと気になるんで情報が知りたいですねー。
オペレーター: はい、じゃあこちらチェック入れておきますね。,カスタマー: お願いしまーす。
オペレーター: えーっとあとはなにかあのー、お土産とか見たい買いたいというのはありますか？あともう少し美術館とかご案内いたしますか？,カスタマー: そうですねー、結構その岡本太郎美術館たっぷりみたいと思うので、もう美術館とかは、まぁ大丈夫です。
オペレーター: はい、はい。,カスタマー: ま強いて言えば、なんかこう休憩できるような場所とかがあったらいいかなと思うんですけれども。
オペレーター: あ、承知しました、ちょっと探してみますね。,カスタマー: なんかこう、公園とか喫茶店とかそんな感じの、どっちでもいいんですけどなんかそんなところがあったらいいかなとはぼんやり思ってます。
オペレーター: そうですね、ちょっとだ、たぶん大学構内なら、緑とかも多そうですので、はい。,カスタマー: じゃあなんか一応そこはあの、なんていうんですかねリストがあるのかわかんないんですけど、そういうリストに加えといてもらえたらちょっと嬉しいなと思います。
オペレーター: えっと今回はどのようなご旅行をご、ご予定してますか？,カスタマー: えっとー、ちょっと母と二人で―、北海道に行きたいなーと思ってまして。
オペレーター: 季節とか決まってますか？,カスタマー: 季節が、ちょっ、夏休みぐらいですかね。
オペレーター: 季節とか決まってますか？,カスタマー: ちょっとまだ、だいたいなんですけど。
オペレーター: あっ、承知しました。,カスタマー: まぁ7月、8月辺りで。
オペレーター: ん－。,カスタマー: ま、札幌―いってー、あとはー、ちょっとその近く、とかバスでとかでなんか行けるよーなー、観光地、なんか自然ーみたいなの、例えばラベンダー畑とか、なんかそういうのとか、見れればいいなーってゆう。
オペレーター: ラベンダーがー、あのー、有名なのは、富良野のー公園が出てきてしまっているんですけれども、札幌からは離れているんですが、富良野も、いかがですかー？,カスタマー: 富良野行ってみたいんですよねー。
オペレーター: ラベンダーがー、あのー、有名なのは、富良野のー公園が出てきてしまっているんですけれども、札幌からは離れているんですが、富良野も、いかがですかー？,カスタマー: ほんとにー。
オペレーター: あのー。,カスタマー: やっぱ、何日とかーで分けて富良野とか行ってみようかなって思う。
オペレーター: なんか、さっきのワインの所も気になりますが、お風呂とかは別に入らなくて結構ですか？,カスタマー: いやーお風呂、出来れば入りたいーです。
オペレーター: なんか、さっきのワインの所も気になりますが、お風呂とかは別に入らなくて結構ですか？,カスタマー: なんか、温泉とかあればいいなーって思っててー
オペレーター: えっと、和風な感じと―、あの洋風な感じ、プールみたいなんもあるのと、どちらがよろしいですかねー。,カスタマー: 和風な感じがいいです。
オペレーター: あっ全身がいいです。,カスタマー: あっ全身がいいです。
オペレーター: あっ全身がいいです。,カスタマー: 出来れば。
オペレーター: えっとあとはですねー、えーっと、なにか、お食事とかー、食べたいですかー？,カスタマー: 蟹が食べたいです。
オペレーター: あ、蟹料理、へへ、少々お待ち下さーい。,カスタマー: それか、海鮮丼が…まぁ、別の日に海鮮丼とかでもいいですけど。
オペレーター: あ、蟹料理、へへ、少々お待ち下さーい。,カスタマー: 海鮮丼ーも食べたいですねぇ。
オペレーター: 一応蟹でー、あのー、お。,カスタマー: 蟹で、はいー。
オペレーター: 一応蟹でー、あのー、お。,カスタマー: お願いします。
オペレーター: お寿司し…。,カスタマー: もう、蟹料理がいいです。
オペレーター: お寿司し…。,カスタマー: 例えば、蟹のから揚げとか蟹のー天ぷらとか。
オペレーター: 工場でございますかー？,カスタマー: なーんか、北海道ってすごいー、いろんなの、物生産してるじゃないですか。
オペレーター: はい。,カスタマー: なんか、お菓子とか―、ビールとかー、そうゆうなんか、なんか工場見学みたいなの、出来るとこって、なんかー、工場見学とかー。
オペレーター: あ、お醤油、こちらお醤油も作ってるみたいなんですけれども、あのー、まぁ、例えば、お酒が好きであれば日本酒であったりとか、ワインが好きであればワインであったりとかー、あとはお醤油であったりとかミルクであったりとか、ってゆう感じなんですけれども、どういったものがお好きですかー？,カスタマー: そーですね、あんまりー、ワインを―、ちょっと母も私も飲まないので―。
オペレーター: <>,カスタマー: なのでー、ちょっとー、ミルクとかで、なんか、お土産とかにー、そーゆー、なんか、おっ菓子みたいなのと買えたらいいなと思うので―。
オペレーター: そーですねー。,カスタマー: ちょっと、そういうミルク系の工場行こうかなって思います。
オペレーター: お土産とかー、他にーちょっとー、お店見てみますか？,カスタマー: なんか、甘い物、なんかスイーツ系の。
オペレーター: はい。,カスタマー: で、あのー、お土産ー。
オペレーター: それはー、あのー、和食ー、和、風ーと洋風と、どちらがよろしいですか？,カスタマー: 洋風ですね。
オペレーター: あ、分かりましたー。,カスタマー: ちょっと、し、いろいろ、行ってみたいなって、はい。
オペレーター: ラーメンでございますか？,カスタマー: 味噌ラーメンが、食べたいなーって、思って。
オペレーター: 一応ですね、あのー夕飯の方はいかが致しますか？,カスタマー: あ、夕飯、さっき言った蟹の方で、お願いしたいので。
オペレーター: えっとー、ハイランドふらのでお風呂に、あに、お、えー、行きましてー、あのー、お風呂に入りまして―、すすきのの天然温泉、をに、立ち寄りまして―、えー、雪印メグミルクの、酪農の、乳の歴史館で、えーとー、工場見学をしまして、だいもの、大丸札幌売り場の食品フロアーほっぺタウンで、お買物して、であと、北…菓子、おろ、あう、ほっかし、ホッカ、ロウで、えー、い、札幌エスタ店に、行きまして、ラーメンの青竜、札幌蟹本店でお夕食って形でよろしいでしょうか？,カスタマー: あ、最初のー富良野ちょっと、1回キャンセルでもいいですかー？
オペレーター: こんにちは。本日はご利用いただきましてありがとうございます。お客様、どのようなご旅行をお考えでしょうか。,カスタマー: あ、はい。えーと、京都周辺を、えっとー冬の季節に、えーと恋人と2人で行きたいなというふうに思っています。
オペレーター: はい。あとですね、あのー、えーと他にですね、あのー京都に行かれまして、あのーどこか行きたいですとか、あのー見、あのー食べてみたいですとか、あのーそういったところはございますか？,カスタマー: はい。はい。はい。はい。そうですね、あのーえっと、あえてちょっと冬っていう季節を指定した<>けど。
オペレーター: はい。はい。ええ、ええ。はい。はい。,カスタマー: あの、夏場だと結構川床とか有名だと思うんですが。京都。
オペレーター: あ、左様でございますね。はい。,カスタマー: あの、京都の冬ならではの何か、あのー観光場所に1個行きたいなと思っていて。
オペレーター: ええ。はい。ええ。,カスタマー: 例えばその料理でもいいですし、あのーそうですね、あのー観光スポットでもいいんですけど。
オペレーター: あー、はい。はい。はい。はい。はい。,カスタマー: 何かその冬っていうシーズンならではの、あの、ものがあれば教えていただけたらと思います。
オペレーター: 観光スポット、あの、遊ぶとかですよね。,カスタマー: そうですね。あとはあの、スキー場とか、まあ京都ないかもしれないです、スキーとかスケートとか。
オペレーター: ええ、ええ。はい。あ、ええ、ええ。はい。,カスタマー: あとはあの、雪。京都っていってもあの、なんだろう。縦に長いと思うんですけど、雪が降る。
オペレーター: ええ、ええ。あ、ええ。あ、そうですね。はい。ええ、ええ。,カスタマー: 降りやすい地域とかもいいかなーと思います。
オペレーター: ええ、はい。はい。はい。はい。ありがとうございます。あと他にですね、あのーどこかあの、見てみたいですとか、あの食べてみたいですとか、こ、そういったご要望はございますか？,カスタマー: はい。あとはそうですね、えっと、京都といえばやはりあのー寺院とか仏閣かと思いますので。
オペレーター: はい。はい。,カスタマー: あの、山程あると思うんですけど、<>訪ねるからにはやはりちょっと最低一箇所はそういった場所で参拝もしたいなと思っています。
オペレーター: で、えーっとそうですね、あ、お客様は、あのー冬に行かれるとのことですよね。,カスタマー: あ、そうです。あえてちょっと寒い季節に、あのー訪ねようとしているんですけれども。はい。
オペレーター: はい。あ、あーはい、はい。ただいまですね、あ、お客様何かあのー和食とか、あのー洋食とかはあのーその京都ならではの料理ですとか、そういったご要望とかはございますか？,カスタマー: はい。はい。あ、そうですね、あのーせっかくなので、京料理を味わいたいと思います。
オペレーター: ええ。ええ、色々あるんですよね。ほんとに。はい。,カスタマー: あはは。そうですね、悩ましいんですが、冬なので、えーと鉄板焼きがちょっとあっ、体があったかくなれそうでいいなと思いました。
オペレーター: あ、とんでもないです。はい。あとですね、何かお土産とか、何か買われますよね。,カスタマー: あ、そうですね、お土産もはい、あのやっぱり旅行行ったからには、はい。買いたいです。
オペレーター: お客様、どのようなご旅行ご希望ですか？,カスタマー: はい、あの今年の7月に、あの、家族4人で、北海道に行きたいって考えてるんですけど。
オペレーター: はい、かしこまりました。ご家族様4人で北海道旅行ですね。,カスタマー: はい。
オペレーター: はい、あの、具体的な、あの、ご要望とかはございますか？,カスタマー: えっとー、ひとつ、海鮮が食べたいっていうのだけあるんですけど。
オペレーター: はい。お客様、あのー、お寿司はお好きですか？,カスタマー: あ、はい、好きです。
オペレーター: でー、あのー、はい、よろしければ、こちらご案内いたしますけれども。,カスタマー: あ、はい、お願いします。
オペレーター: はい、なかなか珍しく、はい、よろしいかと思うんですけれども。,カスタマー: はい。
オペレーター: はい、じゃ、あのこちらも、はい、あの、候補の1つとして、はい、押さえておきますね。,カスタマー: はい。
オペレーター: はい、じゃ、あのこちらも、はい、あの、候補の1つとして、はい、押さえておきますね。,カスタマー: お願いします。
オペレーター: はい、そちらもご案内いたしましょうか？,カスタマー: あ、はい、お願いします。
オペレーター: はい。一応候補の1つとして、置いておきますね。,カスタマー: あ、はい、お願いします。
オペレーター: うん、蟹シューマイがおすすめって書いてありますね。,カスタマー: あ、食べたい。食べてみたいです。
オペレーター: はい、ええ。,カスタマー: どうですか？あん…なんかこう、入りやすそうな方が、フフ、いいんですけど。
オペレーター: そうですね、あの、そのような写真がありますので、割と家族で入りやすい感じではありますね。,カスタマー: そうですね、なんかワイワイできるような雰囲気のほうが良いなーと思って、いま聞いたんですけど。
オペレーター: はい。じゃ、こちら、なかむらさんは、じゃ、ちょっと外しておきますね、じゃあ。,カスタマー: あ、はい、すいません。
オペレーター: 大自然…。,カスタマー: なんか、乗馬とか、フフ、なんか、お花がすごい、こう見れる場所とか、なんかあるのかなーと思ったんですけど。
オペレーター: こちらもひとつ、候補の1つとして押さえておきますね。,カスタマー: あ、はい。
オペレーター: あ、かなり広いですねー、はい。,カスタマー: フフフフ、はい、そういうとこに行きたいなと思ってたんですよ。
オペレーター: はーい。じゃ、こちらも1つ、候補の1つとして、はい。,カスタマー: お願いします。
オペレーター: 8月上旬までサクランボ狩りができるそうなんですね。,カスタマー: えー！やってみたいです。
オペレーター: もしよろしければ、はい。,カスタマー: あ、そこも是非、候補にしたいです。うん。
オペレーター: へー。お客様、ふ、船とか大丈夫ですか？,カスタマー: あ、はい、大丈夫です。
オペレーター: はーい。あとなにか、ほかに、あの、見たいところですとか、食べたいもの買いたいものとか、そういったご要望はございますか？,カスタマー: 北海道の美味しい食べ物をお土産に買いたいと思っていて。
